0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,7.0,9.0,120000.0,19.7,796.0,46.3,5.0,120000.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,54.0,5.0,20000.0,18.9,1197.0,82.0,5.0,550000.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,118.0,11.0,60000.0,17.0,1197.0,80.0,5.0,215000.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,7.0,9.0,37000.0,20.92,998.0,67.1,5.0,226000.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,38.0,6.0,30000.0,22.77,1498.0,98.59,5.0,570000.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,100.0,8.0,35000.0,18.9,998.0,67.1,5.0,350000.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,117.0,8.0,40000.0,20.36,1197.0,78.9,5.0,315000.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,100.0,3.0,17512.0,20.51,998.0,67.04,5.0,410000.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,96.0,2.0,20000.0,18.15,998.0,118.35,5.0,1050000.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,88.0,4.0,28321.0,16.6,1197.0,85.0,5.0,511000.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,97.0,8.0,65278.0,22.32,1582.0,126.32,5.0,425000.0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,25.0,32.0,5.0,50000.0,19.64,1461.0,108.45,5.0,750000.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,29.0,4.0,6000.0,14.41,1998.0,189.08,5.0,3250000.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,18.0,24.0,5.0,76000.0,28.09,1248.0,88.5,5.0,650000.0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,18.0,88.0,5.0,20000.0,25.2,1248.0,74.0,5.0,627000.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,16.0,7.0,65000.0,19.27,2143.0,170.0,5.0,1425000.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,18.0,88.0,7.0,62200.0,28.4,1248.0,74.0,5.0,425000.0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,29.0,60.0,8.0,110000.0,12.99,2494.0,100.6,8.0,605000.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,13.0,6.0,20000.0,21.4,1197.0,83.1,5.0,600000.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,89.0,5.0,40000.0,20.85,1197.0,83.14,5.0,575000.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,95.0,8.0,47000.0,16.09,1598.0,103.2,5.0,425000.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,7.0,8.0,25000.0,20.92,998.0,67.1,5.0,230000.0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,30.0,2.0,15000.0,19.67,1582.0,126.2,5.0,1225000.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,25.0,6.0,50000.0,17.4,1497.0,117.3,5.0,750000.0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,17.0,14.0,10.0,25000.0,13.6,2523.0,63.0,7.0,350000.0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,18.0,89.0,6.0,90000.0,26.59,1248.0,74.0,5.0,600000.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,18.0,89.0,8.0,45000.0,26.59,1248.0,74.0,5.0,390000.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,25.0,14.0,77253.0,17.7,1497.0,78.0,5.0,145000.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,118.0,3.0,25000.0,17.19,1197.0,81.86,5.0,700000.0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,29.0,45.0,8.0,110000.0,13.0,2982.0,168.5,7.0,1150000.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,64.0,4.0,30000.0,23.01,999.0,67.0,5.0,340000.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,10.0,5.0,39993.0,18.6,1199.0,88.76,5.0,465000.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,84.0,12.0,80000.0,17.92,1086.0,62.1,5.0,125000.0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,17.0,114.0,9.0,185000.0,15.1,2179.0,140.0,7.0,600000.0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,18.0,89.0,8.0,90000.0,23.4,1248.0,74.0,5.0,380000.0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,118.0,3.0,15000.0,22.54,1396.0,88.73,5.0,850000.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,118.0,3.0,40000.0,18.6,1197.0,81.83,5.0,598000.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,25.0,6.0,31180.0,18.0,1497.0,117.3,5.0,700000.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,18.0,89.0,7.0,56000.0,23.4,1248.0,74.0,5.0,410000.0
